"Classe","Nome Corso","Ateneo","Anno accademico","Descrizione indicatore","ID Indicatore","Numeratore","Denominatore"
"L-8 - Ingegneria dell'informazione","0010206200800008 - Ingegneria elettronica","Politecnico di Torino","2020","Percentuale di laureati (L; LM; LMCU) entro la durata normale del corso*","iC02","94.000","216.000"
"L-8 - Ingegneria dell'informazione","0010206200800008 - Ingegneria elettronica","Politecnico di Torino","2021","Percentuale di laureati (L; LM; LMCU) entro la durata normale del corso*","iC02","75.000","183.000"
"L-8 - Ingegneria dell'informazione","0010206200800008 - Ingegneria elettronica","Politecnico di Torino","2022","Percentuale di laureati (L; LM; LMCU) entro la durata normale del corso*","iC02","68.000","180.000"
"L-8 - Ingegneria dell'informazione","0010206200800008 - Ingegneria elettronica","Politecnico di Torino","2023","Percentuale di laureati (L; LM; LMCU) entro la durata normale del corso*","iC02","48.000","132.000"
"L-8 - Ingegneria dell'informazione","0010206200800008 - Ingegneria elettronica","Politecnico di Torino","2024","Percentuale di laureati (L; LM; LMCU) entro la durata normale del corso*","iC02","46.000","107.000"
"L-8 - Ingegneria dell'informazione","0010206200800008 - Ingegneria elettronica","Politecnico di Torino","2025","Percentuale di laureati (L; LM; LMCU) entro la durata normale del corso*","iC02","33.000","115.000"
"L-8 - Ingegneria dell'informazione","0010206200800009 - Ingegneria gestionale","Politecnico di Torino","2020","Percentuale di laureati (L; LM; LMCU) entro la durata normale del corso*","iC02","61.000","148.000"
"L-8 - Ingegneria dell'informazione","0010206200800009 - Ingegneria gestionale","Politecnico di Torino","2021","Percentuale di laureati (L; LM; LMCU) entro la durata normale del corso*","iC02","117.000","252.000"
"L-8 - Ingegneria dell'informazione","0010206200800009 - Ingegneria gestionale","Politecnico di Torino","2022","Percentuale di laureati (L; LM; LMCU) entro la durata normale del corso*","iC02","61.000","177.000"
"L-8 - Ingegneria dell'informazione","0010206200800009 - Ingegneria gestionale","Politecnico di Torino","2023","Percentuale di laureati (L; LM; LMCU) entro la durata normale del corso*","iC02","37.000","141.000"
"L-8 - Ingegneria dell'informazione","0010206200800009 - Ingegneria gestionale","Politecnico di Torino","2024","Percentuale di laureati (L; LM; LMCU) entro la durata normale del corso*","iC02","55.000","158.000"
"L-8 - Ingegneria dell'informazione","0010206200800009 - Ingegneria gestionale","Politecnico di Torino","2025","Percentuale di laureati (L; LM; LMCU) entro la durata normale del corso*","iC02","46.000","130.000"
"L-8 - Ingegneria dell'informazione","0010206200800010 - Ingegneria fisica","Politecnico di Torino","2020","Percentuale di laureati (L; LM; LMCU) entro la durata normale del corso*","iC02","61.000","108.000"
"L-8 - Ingegneria dell'informazione","0010206200800010 - Ingegneria fisica","Politecnico di Torino","2021","Percentuale di laureati (L; LM; LMCU) entro la durata normale del corso*","iC02","56.000","104.000"
"L-8 - Ingegneria dell'informazione","0010206200800010 - Ingegneria fisica","Politecnico di Torino","2022","Percentuale di laureati (L; LM; LMCU) entro la durata normale del corso*","iC02","51.000","104.000"
"L-8 - Ingegneria dell'informazione","0010206200800010 - Ingegneria fisica","Politecnico di Torino","2023","Percentuale di laureati (L; LM; LMCU) entro la durata normale del corso*","iC02","62.000","100.000"
"L-8 - Ingegneria dell'informazione","0010206200800010 - Ingegneria fisica","Politecnico di Torino","2024","Percentuale di laureati (L; LM; LMCU) entro la durata normale del corso*","iC02","48.000","87.000"
"L-8 - Ingegneria dell'informazione","0010206200800010 - Ingegneria fisica","Politecnico di Torino","2025","Percentuale di laureati (L; LM; LMCU) entro la durata normale del corso*","iC02","43.000","97.000"
"L-8 - Ingegneria dell'informazione","0010206200800011 - Ingegneria del cinema e dei mezzi di comunicazione","Politecnico di Torino","2020","Percentuale di laureati (L; LM; LMCU) entro la durata normale del corso*","iC02","25.000","81.000"
"L-8 - Ingegneria dell'informazione","0010206200800011 - Ingegneria del cinema e dei mezzi di comunicazione","Politecnico di Torino","2021","Percentuale di laureati (L; LM; LMCU) entro la durata normale del corso*","iC02","24.000","91.000"
"L-8 - Ingegneria dell'informazione","0010206200800011 - Ingegneria del cinema e dei mezzi di comunicazione","Politecnico di Torino","2022","Percentuale di laureati (L; LM; LMCU) entro la durata normale del corso*","iC02","25.000","70.000"
"L-8 - Ingegneria dell'informazione","0010206200800011 - Ingegneria del cinema e dei mezzi di comunicazione","Politecnico di Torino","2023","Percentuale di laureati (L; LM; LMCU) entro la durata normale del corso*","iC02","25.000","78.000"
"L-8 - Ingegneria dell'informazione","0010206200800011 - Ingegneria del cinema e dei mezzi di comunicazione","Politecnico di Torino","2024","Percentuale di laureati (L; LM; LMCU) entro la durata normale del corso*","iC02","19.000","86.000"
"L-8 - Ingegneria dell'informazione","0010206200800011 - Ingegneria del cinema e dei mezzi di comunicazione","Politecnico di Torino","2025","Percentuale di laureati (L; LM; LMCU) entro la durata normale del corso*","iC02","13.000","60.000"
"L-8 - Ingegneria dell'informazione","0010206200800012 - Electronic and Communications Engineering (Ingegneria elettronica e delle comunicazioni)","Politecnico di Torino","2020","Percentuale di laureati (L; LM; LMCU) entro la durata normale del corso*","iC02","15.000","35.000"
"L-8 - Ingegneria dell'informazione","0010206200800012 - Electronic and Communications Engineering (Ingegneria elettronica e delle comunicazioni)","Politecnico di Torino","2021","Percentuale di laureati (L; LM; LMCU) entro la durata normale del corso*","iC02","8.000","38.000"
"L-8 - Ingegneria dell'informazione","0010206200800012 - Electronic and Communications Engineering (Ingegneria elettronica e delle comunicazioni)","Politecnico di Torino","2022","Percentuale di laureati (L; LM; LMCU) entro la durata normale del corso*","iC02","11.000","30.000"
"L-8 - Ingegneria dell'informazione","0010206200800012 - Electronic and Communications Engineering (Ingegneria elettronica e delle comunicazioni)","Politecnico di Torino","2023","Percentuale di laureati (L; LM; LMCU) entro la durata normale del corso*","iC02","8.000","33.000"
"L-8 - Ingegneria dell'informazione","0010206200800012 - Electronic and Communications Engineering (Ingegneria elettronica e delle comunicazioni)","Politecnico di Torino","2024","Percentuale di laureati (L; LM; LMCU) entro la durata normale del corso*","iC02","3.000","25.000"
"L-8 - Ingegneria dell'informazione","0010206200800012 - Electronic and Communications Engineering (Ingegneria elettronica e delle comunicazioni)","Politecnico di Torino","2025","Percentuale di laureati (L; LM; LMCU) entro la durata normale del corso*","iC02","14.000","47.000"
"L-8 - Ingegneria dell'informazione","0010206200800013 - Ingegneria informatica","Politecnico di Torino","2020","Percentuale di laureati (L; LM; LMCU) entro la durata normale del corso*","iC02","190.000","455.000"
"L-8 - Ingegneria dell'informazione","0010206200800013 - Ingegneria informatica","Politecnico di Torino","2021","Percentuale di laureati (L; LM; LMCU) entro la durata normale del corso*","iC02","188.000","474.000"
"L-8 - Ingegneria dell'informazione","0010206200800013 - Ingegneria informatica","Politecnico di Torino","2022","Percentuale di laureati (L; LM; LMCU) entro la durata normale del corso*","iC02","265.000","515.000"
"L-8 - Ingegneria dell'informazione","0010206200800013 - Ingegneria informatica","Politecnico di Torino","2023","Percentuale di laureati (L; LM; LMCU) entro la durata normale del corso*","iC02","196.000","449.000"
