"Ateneo","Anno accademico","Classe","Nome Corso","ID Indicatore","Descrizione indicatore","Numeratore"
"Politecnica delle Marche","2020","L-8 - Ingegneria dell'informazione","0420106200800006 - Ingegneria Biomedica","iC00a","Avvii di carriera al primo anno* (L; LMCU; LM)","221.000"
"Politecnica delle Marche","2020","L-8 - Ingegneria dell'informazione","0420106200800006 - Ingegneria Biomedica","iC00b","Immatricolati puri ** (L; LMCU)","200.000"
"Politecnica delle Marche","2020","L-8 - Ingegneria dell'informazione","0420106200800006 - Ingegneria Biomedica","iC02","Percentuale di laureati (L; LM; LMCU) entro la durata normale del corso*","47.000"
"Politecnica delle Marche","2020","L-8 - Ingegneria dell'informazione","0420106200800006 - Ingegneria Biomedica","iC14","Percentuale di studenti che proseguono nel II anno nello stesso corso di studio**","132.000"
"Politecnica delle Marche","2020","L-8 - Ingegneria dell'informazione","0420106200800006 - Ingegneria Biomedica","iC16BIS","Percentuale di studenti che proseguono al II anno nello stesso corso di studio avendo acquisito almeno 2/3 dei CFU previsti al I anno **","62.000"
"Politecnica delle Marche","2020","L-8 - Ingegneria dell'informazione","0420106200800006 - Ingegneria Biomedica","iC21","Percentuale di studenti che proseguono la carriera nel sistema universitario al II anno**","173.000"
"Politecnica delle Marche","2020","L-8 - Ingegneria dell'informazione","0420106200800010 - Ingegneria Informatica e dell'Automazione","iC00a","Avvii di carriera al primo anno* (L; LMCU; LM)","241.000"
"Politecnica delle Marche","2020","L-8 - Ingegneria dell'informazione","0420106200800010 - Ingegneria Informatica e dell'Automazione","iC00b","Immatricolati puri ** (L; LMCU)","220.000"
"Politecnica delle Marche","2020","L-8 - Ingegneria dell'informazione","0420106200800010 - Ingegneria Informatica e dell'Automazione","iC02","Percentuale di laureati (L; LM; LMCU) entro la durata normale del corso*","46.000"
"Politecnica delle Marche","2020","L-8 - Ingegneria dell'informazione","0420106200800010 - Ingegneria Informatica e dell'Automazione","iC14","Percentuale di studenti che proseguono nel II anno nello stesso corso di studio**","151.000"
"Politecnica delle Marche","2020","L-8 - Ingegneria dell'informazione","0420106200800010 - Ingegneria Informatica e dell'Automazione","iC16BIS","Percentuale di studenti che proseguono al II anno nello stesso corso di studio avendo acquisito almeno 2/3 dei CFU previsti al I anno **","67.000"
"Politecnica delle Marche","2020","L-8 - Ingegneria dell'informazione","0420106200800010 - Ingegneria Informatica e dell'Automazione","iC21","Percentuale di studenti che proseguono la carriera nel sistema universitario al II anno**","171.000"
"Politecnica delle Marche","2020","L-8 - Ingegneria dell'informazione","0420106200800014 - INGEGNERIA ELETTRONICA E DELLE TECNOLOGIE DIGITALI ","iC00a","Avvii di carriera al primo anno* (L; LMCU; LM)","68.000"
"Politecnica delle Marche","2020","L-8 - Ingegneria dell'informazione","0420106200800014 - INGEGNERIA ELETTRONICA E DELLE TECNOLOGIE DIGITALI ","iC00b","Immatricolati puri ** (L; LMCU)","60.000"
