"1. Popolazione analizzata"
"";""
"Numero di laureati";"7766"
"Numero di intervistati";"5150"
"Tasso di risposta sul totale dei laureati ";"66,3"
"Tasso di risposta sui laureati contattabili ";"70,8"
"Genere (%)";" "
"Uomini";"74,0"
"Donne";"26,0"
"Età alla laurea (medie, in anni) ";"24,2"
"Voto di laurea (medie, in 110-mi) ";"97,5"
"Durata degli studi (medie, in anni; sui laureati in atenei non telematici) ";"4,3"
"Durata degli studi (medie, in anni; sui laureati in atenei telematici) ";"2,5"
"Indice di ritardo (sui laureati in atenei non telematici) ";"0,42"
"Indice di ritardo (sui laureati in atenei telematici) ";"-0,17"
"2a. Formazione di secondo livello"
"";""
"Iscrizione, dopo la laurea di primo livello, ad un altro corso di laurea (%)";" "
"Si sono iscritti ad un corso di laurea di secondo livello ";"80,7"
"Sono attualmente iscritti";"80,0"
"Si sono iscritti ad un corso di laurea di primo livello ";"0,4"
"Sono attualmente iscritti";"0,3"
"Mai iscritti ad un corso di laurea di primo o secondo livello";"18,9"
"Motivi della non iscrizione ad un altro corso di laurea (%)";" "
"Motivi lavorativi ";"65,9"
"Mancanza di un corso nell’area disciplinare di interesse";"3,0"
"Motivi economici";"3,3"
"Non interessati perché intenzionati a frequentare altra formazione post-laurea";"4,8"
"Non interessati per altri motivi";"16,9"
"Motivi personali";"5,4"
"Altro motivo ";"0,5"
"Motivi dell'iscrizione ad un corso di laurea di secondo livello (%) ";" "
"Per migliorare la propria formazione culturale";"44,3"
"Per migliorare le possibilità di trovare lavoro";"29,7"
"Perché è necessaria per trovare lavoro";"10,8"
"Perché hanno cercato lavoro ma non l'hanno trovato";"0,2"
"Per migliorare le condizioni dell'attuale lavoro";"14,8"
"Natura della laurea di secondo livello rispetto alla laurea di primo livello (%)";" "
"Rappresenta il proseguimento 'naturale'";"82,1"
"Rientra nel medesimo settore disciplinare pur non rappresentando il proseguimento 'naturale'";"16,5"
"Rientra in un settore disciplinare diverso";"1,4"
