"PROFILO DEI LAUREATI"
"";""
"Numero di laureati";"7417"
"Hanno compilato il questionario";"6968"
"Tasso di compilazione";"93,9"
"1. CARATTERISTICHE ANAGRAFICHE"
"";""
"Genere (%)";" "
"Uomini";"74,7"
"Donne";"25,3"
"Età alla laurea (%) ";" "
"Meno di 23 anni";"51,5"
"23-24 anni";"30,3"
"25-26 anni";"10,4"
"27 anni e oltre";"7,8"
"Età alla laurea (medie, in anni)";"23,8"
"Cittadini stranieri (%) ";"3,9"
"Residenza (%) ";" "
"Stessa provincia della sede degli studi";"52,7"
"Altra provincia della stessa regione";"27,6"
"Altra regione";"19,1"
"Estero";"0,6"
"2. ORIGINE SOCIALE"
"";""
"Titolo di studio dei genitori (%) ";" "
"Almeno un genitore laureato";"36,1"
"Entrambi con laurea";"14,7"
"Uno solo con laurea";"21,3"
"Nessun genitore laureato";"62,8"
"Diploma di scuola secondaria di secondo grado";"46,0"
"Qualifica professionale, titolo inferiore o nessun titolo";"16,8"
"Classe sociale (%) ";" "
"Classe elevata";"21,4"
"Classe media impiegatizia";"35,5"
"Classe media autonoma";"21,4"
"Classe del lavoro esecutivo";"20,1"
"3. STUDI SECONDARI DI SECONDO GRADO"
"";""
"Diploma (%) ";" "
"Liceale";"73,0"
"Liceo classico";"5,4"
"Liceo linguistico";"1,6"
"Liceo scientifico";"65,3"
"Liceo delle scienze umane";"0,5"
"Liceo artistico e musicale e coreutico";"0,2"
"Tecnico";"24,3"
"Tecnico economico";"3,5"
"Tecnico tecnologico";"20,9"
"Professionale";"0,6"
"Titolo estero";"1,9"
"Voto di diploma (medie, in 100-mi) ";"87,0"
"Hanno conseguito il diploma (%) ";" "
"Nella stessa provincia della sede degli studi universitari";"50,2"
"In una provincia limitrofa";"25,4"
"In una provincia non limitrofa, ma nella stessa ripartizione geografica";"8,8"
"Al Sud-Isole, ma si sono laureati al Centro o al Nord";"11,1"
"Al Centro, ma si sono laureati al Nord o al Sud-Isole";"1,9"
"Al Nord, ma si sono laureati al Centro o al Sud-Isole";"0,4"
"All'estero";"2,1"
"4. RIUSCITA NEGLI STUDI UNIVERSITARI"
"";""
"Hanno precedenti esperienze universitarie (%) ";"6,3"
"Portate a termine";"0,9"
"Non portate a termine";"5,4"
"Nessuna precedente esperienza universitaria";"93,4"
"Motivazioni molto importanti nella scelta del corso di laurea (%) ";" "
"Fattori sia culturali sia professionalizzanti";"52,3"
"Fattori prevalentemente culturali";"17,3"
"Fattori prevalentemente professionalizzanti";"16,0"
"Né gli uni né gli altri";"14,4"
"Età all'immatricolazione (%) ";" "
"Regolare o 1 anno di ritardo";"95,3"
"2 o più anni di ritardo";"4,7"
